My Account Log In
IP2Location LITE
Home
Free Databases
IP Addresses
Free Plugins
FAQs
Contact
Home United States IP Address Ranges
United States IP Address Ranges
United States has a total of 1,571,238,096 IP address assigned. Below are all IP address ranges in United States.

Data Sources:
i. You can download the complete free data in CSV format from IP2Location LITE DB1.
ii. You can also download the list in firewall format from IP2Location Firewall List.

Begin IP Address	End IP Address	Total Count
2.255.254.48	2.255.254.48	1
2.255.254.50	2.255.254.74	25
2.255.254.76	2.255.254.77	2
2.255.254.79	2.255.254.86	8
2.255.254.88	2.255.254.88	1
2.255.254.90	2.255.254.94	5
2.255.254.96	2.255.254.97	2
2.255.254.99	2.255.254.100	2
2.255.254.102	2.255.254.106	5
2.255.254.109	2.255.254.109	1
2.255.254.111	2.255.254.115	5
2.255.254.117	2.255.254.118	2
2.255.254.120	2.255.254.124	5
2.255.254.126	2.255.254.133	8
2.255.254.135	2.255.254.137	3
2.255.254.139	2.255.254.140	2
2.255.254.142	2.255.254.143	2
2.255.254.146	2.255.254.146	1
2.255.254.148	2.255.254.148	1
2.255.254.150	2.255.254.151	2
2.255.254.153	2.255.254.154	2
2.255.254.156	2.255.254.157	2
2.255.254.159	2.255.254.179	21
2.255.254.181	2.255.254.181	1
2.255.254.185	2.255.254.218	34
2.255.254.220	2.255.254.255	36
3.2.0.0	3.7.255.255	393,216
3.12.0.0	3.23.255.255	786,432
3.28.0.0	3.103.255.255	4,980,736
3.108.0.0	3.111.255.255	262,144
3.112.23.16	3.112.23.255	240
3.113.218.64	3.113.218.255	192
3.116.0.0	3.119.255.255	262,144
3.128.0.0	3.247.255.255	7,864,320
4.0.0.0	4.0.0.222	223
4.0.0.224	4.0.0.224	1
4.0.0.227	4.0.0.227	1
4.0.0.232	4.0.0.232	1
4.0.0.234	4.0.1.133	156
4.0.1.135	4.0.2.69	191
4.0.2.71	4.0.3.213	399
4.0.3.215	4.0.4.24	66
4.0.4.26	4.0.5.0	231
4.0.5.2	4.0.5.5	4
4.0.5.7	4.0.5.225	219
4.0.5.227	4.0.68.49	15,951
4.0.68.51	4.0.244.193	45,199
4.0.244.195	4.1.0.2	2,880
4.1.0.5	4.1.0.5	1
4.1.0.7	4.1.0.8	2
4.1.0.10	4.1.0.16	7
4.1.0.18	4.1.0.18	1
4.1.0.21	4.1.0.21	1
4.1.0.23	4.1.0.32	10
4.1.0.37	4.1.0.38	2
4.1.0.40	4.1.1.60	277
4.1.1.63	4.1.1.248	186
4.1.1.250	4.1.5.60	835
4.1.5.63	4.1.5.76	14
4.1.5.78	4.1.5.236	159
4.1.5.238	4.1.9.208	995
4.1.9.210	4.1.9.236	27
4.1.9.238	4.1.9.240	3
4.1.9.242	4.1.9.244	3
4.1.9.246	4.1.13.60	839
4.1.13.63	4.1.13.100	38
4.1.13.102	4.1.13.104	3
4.1.13.106	4.1.13.244	139
4.1.13.246	4.1.13.252	7
4.1.13.255	4.14.241.255	910,337
4.14.242.1	4.14.242.1	1
4.14.242.34	4.14.242.34	1
4.14.242.37	4.14.242.38	2
4.14.242.50	4.14.242.50	1
4.14.242.54	4.14.242.54	1
4.14.242.58	4.14.242.58	1
4.14.242.62	4.14.242.62	1
4.14.242.82	4.14.242.82	1
4.14.242.85	4.14.242.86	2
4.14.242.161	4.14.242.162	2
4.14.242.165	4.14.242.166	2
4.14.242.169	4.14.242.170	2
4.14.242.174	4.14.242.174	1
4.14.242.177	4.14.242.178	2
4.14.242.194	4.14.242.194	1
4.14.242.198	4.14.242.198	1
4.14.242.201	4.14.242.201	1
4.14.242.217	4.14.242.218	2
4.14.242.222	4.14.242.222	1
4.14.242.233	4.14.242.234	2
4.14.242.237	4.14.242.238	2
4.14.242.242	4.14.242.242	1
4.14.242.246	4.14.242.246	1
4.14.242.249	4.14.242.250	2
4.14.242.253	4.14.242.254	2
4.14.243.0	4.14.244.84	341
4.14.244.87	4.14.245.79	249
4.14.245.84	4.14.247.61	490
4.14.247.63	4.15.16.0	6,338
4.15.16.2	4.15.16.4	3
4.15.16.6	4.15.18.0	507
4.15.18.3	4.15.18.8	6
4.15.18.10	4.15.18.16	7
4.15.18.18	4.15.18.24	7
4.15.18.26	4.15.18.32	7
4.15.18.34	4.15.18.36	3
4.15.18.39	4.15.18.44	6
4.15.18.47	4.15.18.48	2
4.15.18.50	4.15.18.80	31
4.15.18.83	4.15.18.164	82
4.15.18.167	4.15.20.4	350
4.15.20.7	4.15.20.8	2
4.15.20.11	4.15.20.12	2
4.15.20.14	4.15.20.16	3
4.15.20.18	4.15.20.24	7
4.15.20.27	4.15.20.28	2
4.15.20.31	4.15.20.36	6
4.15.20.39	4.15.20.44	6
4.15.20.46	4.15.77.132	14,679
4.15.77.135	4.16.47.255	57,977
4.16.51.0	4.16.51.0	1
4.16.51.2	4.16.51.16	15
4.16.51.18	4.16.51.28	11
4.16.51.31	4.16.51.32	2
4.16.51.35	4.16.51.48	14
4.16.51.50	4.16.51.80	31
4.16.51.82	4.16.51.88	7
4.16.51.90	4.16.51.96	7
4.16.51.98	4.16.51.108	11
4.16.51.111	4.16.51.112	2
4.16.51.115	4.16.51.120	6
4.16.51.122	4.16.51.128	7
4.16.51.131	4.16.51.132	2
4.16.51.135	4.16.51.136	2
4.16.51.139	4.16.51.168	30
4.16.51.171	4.16.51.172	2
4.16.51.175	4.16.51.176	2
4.16.51.179	4.16.51.180	2
4.16.51.183	4.16.51.208	26
4.16.51.211	4.16.51.212	2
4.16.51.215	4.16.51.240	26
4.16.51.243	4.16.51.244	2
4.16.51.247	4.16.52.72	82
4.16.52.75	4.16.52.76	2
4.16.52.79	4.16.52.84	6
4.16.52.87	4.16.52.88	2
4.16.52.90	4.16.52.96	7
4.16.52.99	4.16.52.100	2
4.16.52.102	4.16.52.120	19
4.16.52.122	4.16.52.128	7
4.16.52.130	4.16.52.136	7
4.16.52.138	4.16.52.144	7
4.16.52.147	4.16.52.148	2
4.16.52.151	4.16.52.152	2
4.16.52.154	4.16.52.160	7
4.16.52.162	4.16.52.168	7
4.16.52.171	4.16.52.172	2
4.16.52.175	4.16.52.192	18
4.16.52.194	4.16.52.204	11
4.16.52.207	4.16.52.208	2
4.16.52.210	4.16.52.220	11
4.16.52.223	4.16.52.240	18
4.16.52.242	4.16.52.248	7
4.16.52.251	4.16.52.252	2
4.16.52.255	4.16.52.255	1
4.16.54.0	4.17.135.31	86,304
4.17.135.64	4.17.142.255	1,984
4.17.143.16	4.18.32.71	37,176
4.18.32.80	4.18.40.135	2,104
4.18.40.144	4.18.65.255	6,512
4.18.68.0	4.18.100.31	8,224
4.18.100.40	4.19.162.143	81,512
4.19.162.152	4.20.73.15	42,616
4.20.73.32	4.23.56.0	192,225
4.23.56.4	4.23.57.0	253
4.23.57.4	4.23.57.138	135
4.23.57.140	4.23.128.183	18,220
4.23.128.192	4.26.224.138	221,131
4.26.224.140	4.28.135.255	108,404
4.28.137.0	4.28.137.7	8
4.28.137.16	4.28.137.55	40
4.28.137.64	4.28.137.152	89
4.28.137.155	4.28.137.160	6
4.28.137.162	4.28.137.176	15
4.28.137.179	4.28.137.180	2
4.28.137.183	4.28.137.200	18
4.28.137.202	4.28.137.212	11
4.28.137.215	4.28.137.252	38
4.28.137.255	4.28.137.255	1
4.28.139.0	4.28.141.255	768
4.28.142.161	4.28.142.162	2
4.28.143.126	4.28.143.126	1
4.28.144.0	4.29.37.3	38,148
4.29.37.5	4.29.37.27	23
4.29.37.29	4.29.37.35	7
4.29.37.37	4.29.37.51	15
4.29.37.53	4.29.37.59	7
4.29.37.61	4.29.37.99	39
4.29.37.101	4.31.207.255	174,747
4.31.209.0	4.31.209.76	77
4.31.209.78	4.31.209.80	3
4.31.209.83	4.33.13.112	80,926
4.33.13.114	4.33.101.81	22,496
4.33.101.83	4.35.242.159	167,245
4.35.242.161	4.35.242.161	1
4.35.242.176	4.37.0.255	69,200
4.37.2.0	4.42.209.231	380,904
4.42.209.240	4.43.114.7	40,984
4.43.114.16	4.55.88.49	779,810
4.55.88.52	4.55.88.57	6
4.55.88.60	4.55.88.73	14
4.55.88.76	4.55.88.89	14
4.55.88.92	4.55.88.97	6
4.55.88.100	4.55.88.121	22
4.55.88.124	4.55.88.177	54
4.55.88.180	4.55.88.255	76
4.55.94.0	4.55.94.1	2
4.55.94.4	4.55.94.9	6
4.55.94.12	4.55.94.57	46
4.55.94.60	4.55.94.145	86
4.55.94.148	4.55.94.161	14
4.55.94.164	4.55.94.169	6
4.55.94.172	4.59.176.9	282,974
4.59.176.11	4.59.176.88	78
4.59.176.91	4.59.176.104	14
4.59.176.107	4.59.176.127	21
4.59.177.0	4.59.177.127	128
4.59.178.0	4.59.178.1	2
4.59.178.3	4.59.178.5	3
4.59.178.7	4.59.178.16	10
4.59.178.18	4.59.178.44	27
4.59.178.46	4.59.178.48	3
4.59.178.51	4.59.178.88	38
4.59.178.91	4.59.178.96	6
4.59.178.98	4.59.180.40	455
4.59.180.43	4.59.180.48	6
4.59.180.50	4.59.180.76	27
4.59.180.79	4.59.180.116	38
